compCode,Category,Sub_category,crawl_Timestamp
MSM,main,consumer,2019-02-26 10:54:35
MSPORTS,main,consumer,2019-02-26 10:54:35
MUIIND,main,consumer,2019-02-26 10:54:35
MULPHA,main,consumer,2019-02-26 10:54:35
MYNEWS,main,consumer,2019-02-26 10:54:35
NESTLE,main,consumer,2019-02-26 10:54:35
NHFATT,main,consumer,2019-02-26 10:54:36
NICE,main,consumer,2019-02-26 10:54:36
NICE-WB,main,consumer,2019-02-26 10:54:36
NIHSIN,main,consumer,2019-02-26 10:54:36
NTPM,main,consumer,2019-02-26 10:54:36
OCB,main,consumer,2019-02-26 10:54:36
OCNCASH,main,consumer,2019-02-26 10:54:36
OFI,main,consumer,2019-02-26 10:54:36
OLYMPIA,main,consumer,2019-02-26 10:54:36
ORIENT,main,consumer,2019-02-26 10:54:36
OWG,main,consumer,2019-02-26 10:54:37
OWG-WA,main,consumer,2019-02-26 10:54:37
PADINI,main,consumer,2019-02-26 10:54:37
PANAMY,main,consumer,2019-02-26 10:54:37
PAOS,main,consumer,2019-02-26 10:54:37
PAOS-WA,main,consumer,2019-02-26 10:54:37
PARAGON,main,consumer,2019-02-26 10:54:37
PARKSON,main,consumer,2019-02-26 10:54:37
PCCS,main,consumer,2019-02-26 10:54:37
PCCS-WA,main,consumer,2019-02-26 10:54:37
PELIKAN,main,consumer,2019-02-26 10:54:37
PENSONI,main,consumer,2019-02-26 10:54:37
PENSONI-WB,main,consumer,2019-02-26 10:54:37
PERMAJU,main,consumer,2019-02-26 10:54:38
PETDAG,main,consumer,2019-02-26 10:54:38
PMCORP,main,consumer,2019-02-26 10:54:38
PMHLDG,main,consumer,2019-02-26 10:54:38
POHKONG,main,consumer,2019-02-26 10:54:38
POHUAT,main,consumer,2019-02-26 10:54:38
POHUAT-WB,main,consumer,2019-02-26 10:54:38
PPB,main,consumer,2019-02-26 10:54:38
PRG,main,consumer,2019-02-26 10:54:38
PRG-WA,main,consumer,2019-02-26 10:54:38
PRLEXUS,main,consumer,2019-02-26 10:54:38
PRLEXUS-WA,main,consumer,2019-02-26 10:54:38
PTRANS,main,consumer,2019-02-26 10:54:38
PTRANS-WA,main,consumer,2019-02-26 10:54:38
PWF,main,consumer,2019-02-26 10:54:38
PWF-WA,main,consumer,2019-02-26 10:54:38
PWROOT,main,consumer,2019-02-26 10:54:38
PWROOT-WA,main,consumer,2019-02-26 10:54:38
QL,main,consumer,2019-02-26 10:54:38
REX,main,consumer,2019-02-26 10:54:39
RGB,main,consumer,2019-02-26 10:54:39
RHONEMA,main,consumer,2019-02-26 10:54:39
SALUTE,main,consumer,2019-02-26 10:54:39
SANBUMI,main,consumer,2019-02-26 10:54:39
SAUDEE,main,consumer,2019-02-26 10:54:39
SAUDEE-WA,main,consumer,2019-02-26 10:54:39
SEG,main,consumer,2019-02-26 10:54:39
SEM,main,consumer,2019-02-26 10:54:39
SERNKOU,main,consumer,2019-02-26 10:54:39
SERNKOU-WA,main,consumer,2019-02-26 10:54:39
SHANG,main,consumer,2019-02-26 10:54:39
SHH,main,consumer,2019-02-26 10:54:40
SIGN,main,consumer,2019-02-26 10:54:40
SIGN-WA,main,consumer,2019-02-26 10:54:40
SIME,main,consumer,2019-02-26 10:54:40
SINOTOP,main,consumer,2019-02-26 10:54:40
SMCAP,main,consumer,2019-02-26 10:54:40
SMCAP-WC,main,consumer,2019-02-26 10:54:40
SNC,main,consumer,2019-02-26 10:54:40
SOLID,main,consumer,2019-02-26 10:54:40
SOLID-WA,main,consumer,2019-02-26 10:54:40
SPRITZER,main,consumer,2019-02-26 10:54:40
SUIWAH,main,consumer,2019-02-26 10:54:40
SWSCAP,main,consumer,2019-02-26 10:54:40
SWSCAP-WB,main,consumer,2019-02-26 10:54:40
SYF,main,consumer,2019-02-26 10:54:40
SYF-WB,main,consumer,2019-02-26 10:54:40
TAFI,main,consumer,2019-02-26 10:54:40
TCHONG,main,consumer,2019-02-26 10:54:41
TECGUAN,main,consumer,2019-02-26 10:54:41
TEKSENG,main,consumer,2019-02-26 10:54:41
TEKSENG-WA,main,consumer,2019-02-26 10:54:41
TEOSENG,main,consumer,2019-02-26 10:54:41
TEOSENG-WA,main,consumer,2019-02-26 10:54:41
TGL,main,consumer,2019-02-26 10:54:41
TOMEI,main,consumer,2019-02-26 10:54:42
TPC,main,consumer,2019-02-26 10:54:42
TPC-WA,main,consumer,2019-02-26 10:54:42
UMW,main,consumer,2019-02-26 10:54:42
UPA,main,consumer,2019-02-26 10:54:42
VERTICE,main,consumer,2019-02-26 10:54:43
VERTICE-WA,main,consumer,2019-02-26 10:54:43
WANGZNG,main,consumer,2019-02-26 10:54:43
WARISAN,main,consumer,2019-02-26 10:54:43
XDL,main,consumer,2019-02-26 10:54:43
XDL-WD,main,consumer,2019-02-26 10:54:43
XIANLNG,main,consumer,2019-02-26 10:54:44
XINQUAN,main,consumer,2019-02-26 10:54:44
XINQUAN-WA,main,consumer,2019-02-26 10:54:44
XINQUAN-WB,main,consumer,2019-02-26 10:54:44
YEELEE,main,consumer,2019-02-26 10:54:44
YOCB,main,consumer,2019-02-26 10:54:44
ZHULIAN,main,consumer,2019-02-26 10:54:45
ADVCON,main,construction,2019-02-26 10:54:49
AZRB,main,construction,2019-02-26 10:54:49
AZRB-WA,main,construction,2019-02-26 10:54:50
BENALEC,main,construction,2019-02-26 10:54:50
BPURI,main,construction,2019-02-26 10:54:50
BREM,main,construction,2019-02-26 10:54:50
CRESBLD,main,construction,2019-02-26 10:54:50
DKLS,main,construction,2019-02-26 10:54:50
ECONBHD,main,construction,2019-02-26 10:54:50
ECONBHD-WA,main,construction,2019-02-26 10:54:50
EKOVEST,main,construction,2019-02-26 10:54:50
EKOVEST-WB,main,construction,2019-02-26 10:54:50
FAJAR,main,construction,2019-02-26 10:54:50
FAJAR-WB,main,construction,2019-02-26 10:54:50
GADANG,main,construction,2019-02-26 10:54:50
GADANG-WB,main,construction,2019-02-26 10:54:50
GAMUDA,main,construction,2019-02-26 10:54:50
GAMUDA-WE,main,construction,2019-02-26 10:54:50
GBGAQRS,main,construction,2019-02-26 10:54:50
